Date,Open,High,Low,Close,Volume
09/08/2023,"408.82","410.84","408.49","409.39","4,125,223"
09/07/2023,"407.17","409.43","406.86","408.83","2,245,759"
09/06/2023,"412.10","412.13","407.83","410.05","3,744,068"
09/05/2023,"414.20","414.47","412.77","412.90","4,426,687"
09/01/2023,"416.46","416.88","413.21","414.71","3,587,971"
08/31/2023,"414.98","416.12","413.66","413.83","4,751,131"
08/30/2023,"413.03","415.03","412.40","414.36","3,004,516"
08/29/2023,"406.78","412.98","406.57","412.64","3,482,664"
08/28/2023,"406.36","407.44","405.10","406.86","3,236,711"
08/25/2023,"403.08","405.80","399.71","404.20","4,417,835"
08/24/2023,"408.60","409.08","401.40","401.54","3,458,791"
08/23/2023,"403.56","407.67","403.47","406.95","3,249,964"
08/22/2023,"405.35","405.40","402.06","402.61","2,648,051"
08/21/2023,"402.14","404.39","399.99","403.74","3,292,434"
08/18/2023,"398.17","402.02","397.85","401.09","4,157,667"
08/17/2023,"405.33","405.58","400.37","400.72","7,102,504"
08/16/2023,"406.59","408.11","403.87","403.99","3,353,653"
08/15/2023,"410.09","411.71","406.41","407.00","4,686,119"
08/14/2023,"408.56","411.74","408.31","411.72","2,772,912"
08/11/2023,"407.95","410.41","407.34","409.41","2,918,862"
08/10/2023,"411.80","415.05","408.62","409.79","4,588,326"
08/09/2023,"412.66","412.73","408.85","409.55","3,145,934"
08/08/2023,"411.76","412.74","409.13","412.29","3,780,086"
08/07/2023,"412.29","414.24","411.64","414.08","2,597,977"
08/04/2023,"414.15","416.13","410.03","410.38","5,717,266"
08/03/2023,"411.68","414.19","411.09","412.40","3,028,199"
08/02/2023,"416.46","416.70","412.88","413.57","4,979,068"
08/01/2023,"419.26","420.08","418.55","419.38","3,137,275"
07/31/2023,"420.32","420.97","419.05","420.68","3,454,537"
07/28/2023,"418.93","420.62","418.16","419.87","2,702,729"
07/27/2023,"421.79","422.15","414.92","415.82","4,149,443"
07/26/2023,"417.62","419.89","416.58","418.66","6,138,837"
07/25/2023,"417.08","419.65","417.07","418.56","3,949,308"
07/24/2023,"416.58","418.10","416.02","417.33","3,471,126"
07/21/2023,"417.11","417.30","415.48","415.57","3,176,713"
07/20/2023,"417.30","418.16","414.82","415.52","4,084,997"
07/19/2023,"418.07","419.37","417.49","418.25","3,494,916"
07/18/2023,"413.91","417.93","413.54","417.35","3,597,284"
07/17/2023,"412.65","415.25","412.63","414.21","2,968,267"
07/14/2023,"413.94","414.71","412.08","412.77","3,680,945"
07/13/2023,"411.54","413.81","411.13","413.10","3,273,427"
07/12/2023,"410.19","411.13","408.79","409.76","4,246,359"
07/11/2023,"404.77","407.00","403.77","406.56","3,181,871"
07/10/2023,"402.63","404.11","402.06","403.97","3,362,277"
07/07/2023,"403.03","406.68","402.71","402.89","3,673,249"
07/06/2023,"403.78","404.35","401.56","403.83","6,040,271"
07/05/2023,"406.01","407.84","406.01","407.15","4,234,124"
07/03/2023,"406.92","408.06","406.68","408.06","2,372,019"
06/30/2023,"405.40","408.22","405.29","407.28","5,173,692"
06/29/2023,"400.60","402.67","400.19","402.51","3,914,849"
06/28/2023,"401.35","403.49","400.71","402.55","4,320,672"
06/27/2023,"398.80","402.93","398.39","402.37","4,302,361"
06/26/2023,"399.04","400.86","397.73","397.96","3,250,700"
06/23/2023,"399.33","401.28","398.93","399.61","4,215,307"
06/22/2023,"400.28","402.72","399.95","402.63","3,141,021"
06/21/2023,"402.31","403.06","400.67","401.17","3,423,543"
06/20/2023,"403.49","404.32","401.26","403.38","4,246,881"
06/16/2023,"408.69","408.76","404.89","405.25","5,141,885"
06/15/2023,"401.00","407.93","400.89","406.75","5,284,984"
06/14/2023,"401.61","403.44","398.46","401.60","5,161,278"
06/13/2023,"400.02","401.85","399.40","401.29","3,913,085"
06/12/2023,"395.98","398.69","395.30","398.66","3,797,245"
06/09/2023,"395.05","396.93","394.08","395.03","3,062,868"
06/08/2023,"391.96","394.73","391.29","394.37","3,460,351"
06/07/2023,"393.67","394.76","391.54","392.02","3,942,893"
06/06/2023,"392.05","393.79","391.41","393.31","2,894,663"
06/05/2023,"393.54","394.77","391.79","392.50","4,011,778"
06/02/2023,"390.08","393.96","389.54","393.26","7,368,902"
06/01/2023,"384.20","388.57","382.97","387.57","3,563,555"
05/31/2023,"384.31","385.16","382.42","383.89","4,205,348"
05/30/2023,"387.76","388.26","384.76","385.99","3,968,451"
05/26/2023,"381.64","386.57","381.54","385.87","3,042,792"
05/25/2023,"380.99","382.28","378.92","380.92","3,315,872"
05/24/2023,"378.91","379.25","376.57","377.63","3,611,592"
05/23/2023,"383.19","384.11","380.08","380.48","2,887,264"
05/22/2023,"384.66","386.23","383.47","384.78","2,784,012"
05/19/2023,"386.02","386.54","383.44","384.57","3,649,043"
05/18/2023,"381.26","385.57","381.00","385.18","3,340,620"
05/17/2023,"378.85","382.09","377.28","381.45","3,222,645"
05/16/2023,"378.39","379.28","376.91","376.95","2,277,616"
05/15/2023,"378.74","379.84","376.91","379.46","3,882,561"
05/12/2023,"379.85","380.01","375.84","378.15","2,531,015"
05/11/2023,"378.47","378.88","376.67","378.66","2,676,622"
05/10/2023,"380.28","380.83","375.64","379.19","3,512,947"
05/09/2023,"377.71","378.58","377.33","377.54","2,271,049"
05/08/2023,"379.41","379.62","377.88","379.18","2,957,618"
05/05/2023,"375.74","380.09","375.43","378.97","3,139,394"
05/04/2023,"373.84","374.11","370.92","372.14","4,421,484"
05/03/2023,"377.91","380.20","374.60","374.88","5,513,039"
05/02/2023,"381.06","381.11","374.67","377.51","4,311,590"
